train epoch ,resampling ,running value loss ,running policy loss ,running p diff 
22,90,0.56909,2.05386,0.24846
22,100,0.55604,2.06304,0.24852
22,110,0.53646,2.06118,0.24832
22,120,0.51927,2.04581,0.24829
22,130,0.50958,2.02204,0.2486
22,140,0.51007,1.99193,0.24854
22,150,0.52052,1.97411,0.24812
22,160,0.53609,1.97511,0.2483
22,170,0.55178,1.99369,0.24804
22,180,0.56301,2.02694,0.24791
22,190,0.56551,2.06632,0.24848
23,0,0.56424,2.09246,0.24879
23,10,0.55145,2.09251,0.24916
23,20,0.53008,2.07029,0.24946
23,30,0.51,2.02118,0.2498
23,40,0.50016,1.96527,0.24975
23,50,0.49811,1.90935,0.25043
23,60,0.51398,1.86392,0.25006
23,70,0.54421,1.83726,0.25033
23,80,0.56822,1.83421,0.2502
23,90,0.58132,1.84949,0.25079
23,100,0.58694,1.88109,0.25079
23,110,0.57865,1.91776,0.25104
23,120,0.56075,1.95133,0.25186
23,130,0.54368,1.97977,0.25247
23,140,0.53095,1.98905,0.25278
23,150,0.52521,1.98152,0.2533
23,160,0.53743,1.95857,0.2537
23,170,0.55916,1.9225,0.25359
23,180,0.59732,1.88144,0.25385
23,190,0.6284,1.85119,0.2538
24,0,0.64811,1.83171,0.25414
24,10,0.64721,1.83123,0.25436
24,20,0.63905,1.84999,0.25445
24,30,0.60779,1.87317,0.25448
24,40,0.5767,1.89416,0.25488
24,50,0.55473,1.90892,0.25507
24,60,0.54884,1.91284,0.25608
24,70,0.5522,1.90455,0.25663
24,80,0.57194,1.89024,0.25762
24,90,0.59807,1.87603,0.25799
24,100,0.61785,1.86204,0.25852
24,110,0.62373,1.84763,0.25832
24,120,0.61508,1.8347,0.25836
24,130,0.5967,1.8266,0.25793
24,140,0.56844,1.81589,0.25766
24,150,0.54067,1.80952,0.25717
24,160,0.52128,1.80628,0.25691
24,170,0.51311,1.80883,0.25685
24,180,0.51563,1.81306,0.25661
24,190,0.53009,1.82578,0.25633
25,0,0.54774,1.83913,0.25605
25,10,0.5533,1.85693,0.25637
25,20,0.54972,1.86777,0.2564
25,30,0.53111,1.878,0.25648
25,40,0.50872,1.87829,0.25649
25,50,0.48855,1.87021,0.25666
25,60,0.49287,1.8564,0.25624
25,70,0.51468,1.84413,0.25607
25,80,0.55176,1.83366,0.25571
25,90,0.59304,1.82812,0.25525
25,100,0.63053,1.83334,0.2549
25,110,0.63983,1.8402,0.25454
25,120,0.62508,1.85497,0.25435
25,130,0.58889,1.87112,0.25393
25,140,0.54635,1.88541,0.25417
25,150,0.51728,1.89578,0.25363
25,160,0.52215,1.90179,0.25356
25,170,0.56254,1.89323,0.25334
25,180,0.62962,1.87663,0.2534
25,190,0.69853,1.85635,0.25356
26,0,0.74347,1.83674,0.25388
